TIMESTAMP,ROOM_ID,PERCENT_CLEANED
04/20/2022 05:30:59,Office,58
12/25/2022 02:22:22,Lunch Room,42
10/31/2022 05:01:21,Living Room,66
10/26/2022 04:17:22,Gym,69
03/14/2022 03:14:15,Closet,85
07/04/2022 07:04:22,Bedroom,99
01/01/2022 03:17:22,Hallway,7
02/14/2022 04:01:22,Lunch Room,1
07/14/2022 04:51:57,Lunch Room,2
06/19/2022 06:01:01,Lunch Room,3
05/08/2022 07:32:10,Closet,64
02/21/2022 00:00:00,Closet,70
10/10/2022 08:15:34,Bedroom,98
11/08/2022 12:00:00,Bedroom,100
10/26/2022 23:59:59,Gym,69
12/31/2022 00:00:00,Hallway,22
