TIMESTAMP,ROOM_ID,PERCENT_CLEANED
09/29/2015 10:21:45,Library 589,40
02/18/2017 06:05:59,Closet 37,49
01/18/2018 14:11:28,Foyer 746,14
09/09/2016 04:57:06,Music Room 643,35
04/16/2018 19:56:07,Linen Closet 642,37
11/02/2015 12:12:58,Game Room 1319,47
10/21/2016 14:43:46,Kitchen 580,49
05/30/2015 21:56:11,Entryway 1087,63
05/08/2018 21:59:46,Walkway 1078,24
09/27/2016 13:23:41,Office 675,62
02/23/2019 02:47:05,Guest Bathroom 901,69
04/06/2017 23:10:30,Exercise Room 573,33
07/01/2017 03:33:26,Bonus Room 849,97
07/25/2015 10:41:04,Sun Room 1243,87
10/19/2019 11:28:58,Loft 604,1
02/19/2019 21:47:29,Exercise Room 995,41
09/29/2017 19:54:08,Exercise Room 345,71
05/30/2016 23:04:03,Walkway 138,24
03/18/2017 01:28:15,Attic 22,36
08/22/2018 19:42:09,Sun Room 1095,65
05/30/2015 12:35:43,Conservatory 656,94
10/25/2018 13:13:44,Mud Room 26,94
04/24/2018 01:49:53,Bedroom 302,24
01/13/2017 03:27:07,Dining Room 584,100
11/07/2015 01:00:34,Utility Room 369,76
11/30/2016 08:02:03,Foyer 679,14
02/03/2017 16:40:44,Library 748,41
10/04/2016 00:36:45,Storage 1287,55
01/11/2016 19:59:54,Entryway 1276,40
02/17/2019 19:44:18,Bathroom 803,38
07/31/2016 11:49:43,Theater 128,33
01/11/2017 23:09:47,Attic 995,39
07/05/2015 19:42:14,Bonus Room 683,97
04/12/2017 21:08:40,Panic Room 1037,66
11/26/2015 06:04:29,Closet 631,98
02/10/2017 05:59:16,Pantry 622,5
06/07/2017 19:19:21,Theater 1100,29
01/26/2017 03:28:44,Guest Bedroom 1077,78
02/25/2018 06:03:19,Panic Room 612,36
10/09/2017 16:02:28,Bonus Room 1292,61
10/26/2017 23:02:28,Study 1019,93
06/15/2019 06:44:45,Dining Room 311,43
01/18/2019 07:16:48,Spare Room 1280,9
03/14/2016 13:22:18,Game Room 1319,9
03/15/2019 07:15:27,Walkway 1349,67
03/04/2018 01:58:58,Exercise Room 252,27
07/21/2016 10:15:50,Bar 1087,35
08/06/2015 12:10:21,Nook 1360,42
07/18/2015 23:51:09,Exercise Room 920,23
09/12/2019 21:07:37,Ballroom 1150,85
03/04/2018 05:39:12,Study 1163,36
01/16/2018 21:29:55,Study 429,74
07/13/2015 06:50:26,Theater 479,65
11/28/2017 15:34:35,Breakfast Area 307,14
03/31/2018 18:58:32,Nook 380,38
