ROOM_ID,LENGTH,WIDTH
Attic 257,5,1
Sun Room 255,8,42
Conservatory 354,29,16
Guest Bathroom 18,13,20
Den 131,19,3
Foyer 4,39,41
Walk-in Closet 173,40,6
Loft 279,31,43
Nook 187,10,25
Basement 315,37,48
Dining Room 31,4,3
Office 57,50,30
Attic 45,2,43
Keeping Room 124,8,3
Theater 294,40,16
Walkway 60,11,30
Garage 356,5,23
Keeping Room 14,8,46
Sun Room 31,35,44
Conservatory 216,16,35
Linen Closet 326,4,30
Dining Room 340,8,7
Linen Closet 49,6,18
Guest Bedroom 322,29,24
Exercise Room 333,13,4
Living Room 45,40,24
Loft 306,8,9
Loft 234,26,23
Den 278,34,38
Nursery 222,20,5
Bedroom 223,46,17
Closet 84,29,29
Guest Bathroom 52,14,7
Kitchen 228,39,29
Nook 201,9,31
Library,25,37
Wine Cellar 17,48,8
Kitchen 66,12,48
Game Room 150,43,29
Walk-in Closet 198,22,23
Nook 267,2,32
Secret Room 308,16,13
Office 330,31,11
Walk-in Closet 337,33,37
Library 74,19,39
Ballroom 156,50,42
Nook 286,47,4
Hallway 82,32,20
Wine Cellar 58,13,49
Basement 72,2,46
Utility Room 10,8,46
Hallway 336,3,26
Garage 70,34,31
Den 86,24,30
Breakfast Area 197,5,32
Den 210,3,28
Hallway 88,39,6
Breakfast Area 345,46,28
Closet 151,46,44
Attic 221,33,19
Spare Room 243,50,41
Loft 58,4,10
Garage 37,21,10
Bathroom 146,42,25
Living Room 47,2,34
Living Room 234,42,1
Conservatory 162,46,25
Powder Room 14,19,31
Foyer 312,11,9
Laundry Room 347,2,49
Bar 318,46,9
Linen Closet 343,19,2
Office 238,12,46
Bedroom 275,30,20
Walk-in Closet 303,29,33
Dining Room 38,43,31
Walk-in Closet 68,25,18
Garage 249,30,10
Loft 256,32,12
Bar 279,11,29
Living Room 278,50,40
Wine Cellar 164,32,27
Bonus Room 59,19,14
Bathroom 225,8,37
Loft 90,7,37
Guest Bedroom 82,48,21
Parlor 300,44,13
Laundry Room 73,31,29
Laundry Room 213,21,37
Storage 150,26,21
Study 232,16,3
Spare Room 270,5,22
Hallway 162,18,35
Office 252,41,13
Laundry Room 237,9,36
Sun Room 233,42,46
Office 333,48,19
Bathroom 269,37,14
Sun Room 60,4,37
Linen Closet 279,5,11
Sun Room 194,9,46
Ballroom 35,27,40
Garage 33,48,24
Pantry 10,5,33
Laundry Room 326,10,1
Garage 344,3,19
Breakfast Area 39,1,41
Conservatory 126,12,9
Ballroom 103,7,6
Linen Closet 144,7,33
Walk-in Closet 26,15,40
Utility Room 15,43,21
Bathroom 161,28,48
Conservatory 61,18,13
Storage 128,21,16
Basement 271,22,10
Storage 277,3,50
Conservatory 64,47,43
Garage 17,9,25
Secret Room 112,27,19
Utility Room 120,20,41
Game Room 155,29,41
Dining Room 37,50,20
Bar 284,46,38
Closet 102,18,24
Laundry Room 219,28,19
Linen Closet 318,3,15
Closet 183,15,37
Bedroom 340,6,13
Guest Bedroom 29,20,14
Nook 296,22,34
Exercise Room 86,48,16
Bathroom 105,24,50
Laundry Room 241,49,43
Closet 55,41,6
Breakfast Area 250,13,27
Living Room 304,20,18
Kitchen 73,20,28
Laundry Room 88,11,44
Office 146,28,26
Secret Room 52,23,27
Utility Room 230,45,11
Spare Room 233,42,22
Dining Room 355,23,19
Walk-in Closet 141,16,10
Theater 115,26,20
Secret Room 12,36,32
Dining Room 153,35,4
Attic 114,40,14
Bar 8,40,9
Office 106,1,35
Pantry 143,18,47
Office 87,35,45
Utility Room 80,14,28
Bonus Room 224,38,4
Exercise Room 49,32,29
Theater 288,7,33
Basement 81,21,9
Kitchen 189,34,2
Pantry 257,37,44
Game Room 141,41,14
Nursery 192,38,6
Storage 14,37,45
Music Room 151,49,21
Nursery 324,35,36
Walkway 3,39,45
Sun Room 39,25,2
Linen Closet 80,37,10
Nook 247,15,15
Theater 93,10,1
Laundry Room 165,3,2
Bedroom 93,41,40
Bonus Room 81,17,16
Kitchen 54,40,12
Theater 218,7,6
Loft 285,33,19
Secret Room 73,39,19
Dining Room 347,13,2
Loft 63,3,45
Walk-in Closet 153,35,18
Theater 12,28,3
Closet 306,25,1
Loft 131,30,9
Keeping Room 302,49,42
Closet 133,15,11
Nook 132,35,8
Linen Closet 299,10,4
Storage 301,35,31
Bonus Room 12,2,17
Foyer 247,37,35
Entryway 305,13,17
Basement 169,36,43
Panic Room 34,27,41
Theater 316,41,20
Foyer 195,46,2
Garage 271,13,40
Music Room 22,41,36
Sun Room 128,4,30
Pantry 265,6,12
Utility Room 274,39,4
Keeping Room 15,11,1
Breakfast Area 321,10,13
Hallway 152,9,26
Powder Room 1,13,18
Guest Bedroom 309,45,43
Basement 159,36,10
Mud Room 79,21,49
Guest Bedroom 332,44,3
Dining Room 94,34,26
Library 328,30,36
Wine Cellar 251,43,28
Kitchen 95,1,34
Office 84,19,17
Exercise Room 96,23,6
Parlor 266,22,2
Office 203,16,23
Linen Closet 87,15,23
Parlor 10,20,4
Storage 37,43,18
Study 327,15,26
Library 8,16,49
Dining Room 354,19,27
Living Room 83,34,11
Kitchen 112,33,22
Panic Room 131,3,37
Parlor 167,38,2
Linen Closet 34,31,21
Sun Room 153,16,38
Nursery 177,5,47
Attic 182,15,10
Kitchen 323,2,41
Walk-in Closet 183,23,35
Parlor 169,4,44
Hallway 339,20,40
Foyer 180,20,9
Linen Closet 248,19,14
Bathroom 17,35,3
Guest Bathroom 297,49,38
Pantry 81,22,21
Ballroom 240,21,15
Panic Room 37,11,17
Pantry 343,35,10
Parlor 258,8,25
Bedroom 103,23,19
Dining Room 181,37,23
Walkway 244,28,17
Music Room 36,45,18
Breakfast Area 65,3,47
Hallway 262,22,18
Ballroom 349,15,28
Kitchen 90,5,10
Den 43,19,43
Theater 3,1,30
Walk-in Closet 186,26,48
Bar 68,22,3
Ballroom 239,15,50
Bedroom 144,30,16
Entryway 231,41,22
Exercise Room 124,12,32
Office 168,5,50
Ballroom 312,30,44
Entryway 81,4,17
Library 150,40,47
Library 149,36,37
Loft 161,18,14
Storage 339,21,48
Closet 211,28,32
Foyer 264,33,44
Storage 220,26,2
Living Room 99,39,12
Loft 231,25,41
Kitchen 141,40,28
Living Room 338,15,45
Parlor 208,7,31
Kitchen 307,26,5
Guest Bedroom 149,7,40
Foyer 79,17,3
Wine Cellar 178,11,37
Guest Bedroom 275,39,27
Study 284,29,34
Linen Closet 89,32,10
Sun Room 236,6,21
Theater 82,6,24
Kitchen 78,25,47
Storage 346,2,41
Ballroom 139,1,48
Study 127,12,5
Breakfast Area 182,44,3
Walk-in Closet 217,27,41
Basement 180,37,40
Foyer 313,6,42
Spare Room 147,3,9
Guest Bedroom 182,28,1
Conservatory 332,25,4
Pantry 258,5,19
Bathroom 160,31,41
Pantry 208,40,14
Bar 290,13,18
Game Room 178,22,21
Hallway 85,5,30
Wine Cellar 142,24,6
Entryway 147,7,32
Storage 251,41,48
Spare Room 92,43,43
Spare Room 205,50,16
Dining Room 115,47,5
Guest Bathroom 62,27,16
Pantry 299,39,13
Breakfast Area 165,3,16
Study 77,39,2
Garage 9,29,43
Mud Room 225,30,28
Guest Bathroom 9,12,28
Laundry Room 8,17,38
Utility Room 169,22,17
Garage 143,26,24
Bonus Room 114,44,11
Den 174,18,13
Music Room 47,34,14
Conservatory 83,33,28
Linen Closet 261,31,1
Bonus Room 285,8,25
Panic Room 337,31,2
Bathroom 53,47,5
Dining Room 182,41,15
Bonus Room 67,25,12
Nook 259,20,41
Basement 335,18,41
Bonus Room 218,27,8
Bonus Room 314,37,5
Closet 117,15,25
Powder Room 332,17,49
Hallway 38,46,32
Bathroom 169,29,6
Bonus Room 143,44,35
Garage 110,45,19
Library 231,47,43
Den 59,20,7
Sun Room 325,1,23
Spare Room 137,26,38
Closet 160,45,38
Kitchen 226,29,18
Parlor 237,17,24
Dining Room 111,33,23
Attic 289,19,11
Theater 122,7,20
Wine Cellar 245,47,31
Attic 177,42,47
Utility Room 265,50,7
Loft 141,36,10
Bonus Room 125,21,4
Linen Closet 281,49,32
Living Room 346,2,6
Sun Room 20,2,23
Nursery 334,13,50
Keeping Room 26,40,16
Walk-in Closet 76,4,11
Utility Room 48,3,20
Panic Room 169,38,22
Bathroom 255,19,22
Attic 8,1,22
Walk-in Closet 75,8,20
Garage 281,50,41
Bonus Room 323,2,42
Parlor 113,31,15
Kitchen 143,36,8
Guest Bathroom 176,37,38
Bedroom 151,25,19
Conservatory 69,20,6
Game Room 86,22,21
Guest Bathroom 163,45,34
Ballroom 198,32,15
Linen Closet 47,11,35
Keeping Room 237,6,13
Parlor 284,43,13
Office 345,44,5
Bathroom 308,45,5
Storage 274,12,43
Powder Room 255,19,44
Ballroom 111,32,36
Garage 111,46,39
Foyer 157,10,19
Laundry Room 294,33,28
Pantry 175,7,33
Guest Bedroom 209,49,35
Dining Room 139,30,8
Walk-in Closet 297,27,26
Utility Room 205,39,34
Dining Room 59,40,16
Bar 104,31,26
Guest Bedroom 314,9,14
Spare Room 111,45,9
Game Room 43,15,43
Bedroom 22,3,38
Storage 304,42,8
Storage 19,39,30
Mud Room 74,29,9
Bonus Room 276,21,12
Theater 67,34,12
Garage 47,41,14
Entryway 116,18,27
Theater 64,40,30
Bonus Room 167,49,42
Guest Bathroom 186,13,12
Kitchen 272,9,34
Spare Room 37,27,50
Bonus Room 123,46,17
Conservatory 267,26,14
Theater 77,8,39
Parlor 210,6,24
Pantry 188,15,21
Keeping Room 84,2,48
Laundry Room 182,24,7
Guest Bathroom 7,23,2
Mud Room 31,37,22
Attic 234,49,14
Keeping Room 316,47,33
Hallway 34,18,47
Garage 22,28,3
Nursery 111,11,48
Study 216,2,40
Breakfast Area 301,2,42
Office 194,20,1
Bar 240,5,24
Walk-in Closet 288,17,21
Study 88,23,8
Walk-in Closet 83,26,8
Living Room 347,36,20
Utility Room 53,8,16
Entryway 50,34,32
Library 23,17,34
Breakfast Area 186,38,31
Guest Bedroom 77,23,31
Music Room 197,49,31
Laundry Room 291,31,4
Exercise Room 9,21,45
Game Room 234,36,49
Guest Bathroom 149,1,7
Music Room 252,1,22
Mud Room 298,19,41
Storage 190,6,33
Utility Room 85,6,28
Breakfast Area 98,18,17
Linen Closet 88,19,20
Library 299,46,8
Linen Closet 5,27,8
Closet 169,13,3
Wine Cellar 159,43,46
Panic Room 324,4,38
Music Room 152,27,4
Dining Room 230,22,38
Laundry Room 257,32,4
Living Room 285,15,23
Bar 239,37,20
